Year,Institute_Type,Institute,Academic Program Name,Program_Year,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Round
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,OS,OPEN (PWD),F,2348.0,2348.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,OS,EWS,GN,4255.0,4434.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,OS,EWS,F,7705.0,7705.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,OS,EWS (PWD),GN,267.0,267.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,OS,OBC-NCL,GN,6469.0,7953.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,OS,OBC-NCL,F,15886.0,17909.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,OS,OBC-NCL (PWD),GN,889.0,889.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,OS,SC,GN,3740.0,5222.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,OS,SC,F,9698.0,10079.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,OS,ST,GN,1442.0,1899.0,6
2020.0,NIT,NIT Jalandhar,Mech (BTech),4,OS,ST,F,2856.0,2856.0,6
2020.0,NIT,NIT Jalandhar,Textile Technology (BTech),4,HS,OPEN,GN,75078.0,91009.0,6
2020.0,NIT,NIT Jalandhar,Textile Technology (BTech),4,HS,OPEN,F,75059.0,90479.0,6
2020.0,NIT,NIT Jalandhar,Textile Technology (BTech),4,HS,EWS,GN,15419.0,20464.0,6
2020.0,NIT,NIT Jalandhar,Textile Technology (BTech),4,HS,EWS,F,15804.0,15804.0,6
2020.0,NIT,NIT Jalandhar,Textile Technology (BTech),4,HS,OBC-NCL,GN,75299.0,160871.0,6
2020.0,NIT,NIT Jalandhar,Textile Technology (BTech),4,HS,OBC-NCL,F,166070.0,172249.0,6
2020.0,NIT,NIT Jalandhar,Textile Technology (BTech),4,HS,SC,GN,14563.0,16543.0,6
2020.0,NIT,NIT Jalandhar,Textile Technology (BTech),4,HS,SC,F,11761.0,11761.0,6
2020.0,NIT,NIT Jalandhar,Textile Technology (BTech),4,OS,OPEN,GN,37669.0,47390.0,6
2020.0,NIT,NIT Jalandhar,Textile Technology (BTech),4,OS,OPEN,F,51782.0,52112.0,6
2020.0,NIT,NIT Jalandhar,Textile Technology (BTech),4,OS,EWS,GN,7815.0,7987.0,6
2020.0,NIT,NIT Jalandhar,Textile Technology (BTech),4,OS,EWS,F,9323.0,9323.0,6
2020.0,NIT,NIT Jalandhar,Textile Technology (BTech),4,OS,OBC-NCL,GN,14599.0,15206.0,6
2020.0,NIT,NIT Jalandhar,Textile Technology (BTech),4,OS,OBC-NCL,F,15834.0,20482.0,6
2020.0,NIT,NIT Jalandhar,Textile Technology (BTech),4,OS,SC,GN,7888.0,8690.0,6
2020.0,NIT,NIT Jalandhar,Textile Technology (BTech),4,OS,SC,F,10356.0,10356.0,6
2020.0,NIT,NIT Jalandhar,Textile Technology (BTech),4,OS,ST,GN,3228.0,3407.0,6
2020.0,NIT,NIT Jalandhar,Textile Technology (BTech),4,OS,ST,F,4318.0,4318.0,6
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,HS,OPEN,GN,586.0,2260.0,6
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,HS,OPEN,F,259.0,653.0,6
2020.0,NIT,NIT Jaipur,Architecture (BArch),5,HS,EWS,GN,200.0,972.0,6
