Year,Institute,Academic Program Name,Program_Year,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Round
2020.0,IIITS,CSE (BTech),4,AI,SC,GN,2043.0,6097.0,6
2020.0,IIITS,CSE (BTech),4,AI,ST,GN,1179.0,2899.0,6
2020.0,IIITS,CSE (BTech),4,AI,ST,F,2702.0,2702.0,6
2020.0,IIITS,ECE (BTech),4,AI,OPEN,GN,27773.0,33355.0,6
2020.0,IIITS,ECE (BTech),4,AI,OPEN,F,30469.0,33059.0,6
2020.0,IIITS,ECE (BTech),4,AI,OPEN (PwD),GN,1581.0,1713.0,6
2020.0,IIITS,ECE (BTech),4,AI,EWS,GN,5636.0,5969.0,6
2020.0,IIITS,ECE (BTech),4,AI,EWS,F,6248.0,6248.0,6
2020.0,IIITS,ECE (BTech),4,AI,OBC-NCL,GN,11542.0,12900.0,6
2020.0,IIITS,ECE (BTech),4,AI,OBC-NCL,F,14445.0,14445.0,6
2020.0,IIITS,ECE (BTech),4,AI,SC,GN,5988.0,7072.0,6
2020.0,IIITS,ECE (BTech),4,AI,SC,F,8518.0,8518.0,6
2020.0,IIITS,ECE (BTech),4,AI,ST,GN,2681.0,3619.0,6
2020.0,IIITL,CS (BTech),4,AI,OPEN,GN,8298.0,10613.0,6
2020.0,IIITL,CS (BTech),4,AI,OPEN,F,3984.0,17844.0,6
2020.0,IIITL,CS (BTech),4,AI,OPEN (PwD),GN,378.0,378.0,6
2020.0,IIITL,CS (BTech),4,AI,EWS,GN,1664.0,1902.0,6
2020.0,IIITL,CS (BTech),4,AI,EWS,F,3584.0,3584.0,6
2020.0,IIITL,CS (BTech),4,AI,OBC-NCL,GN,3383.0,4810.0,6
2020.0,IIITL,CS (BTech),4,AI,OBC-NCL,F,9747.0,11646.0,6
2020.0,IIITL,CS (BTech),4,AI,OBC-NCL (PwD),GN,455.0,455.0,6
2020.0,IIITL,CS (BTech),4,AI,SC,GN,1418.0,3457.0,6
2020.0,IIITL,CS (BTech),4,AI,SC,F,4910.0,6123.0,6
2020.0,IIITL,CS (BTech),4,AI,ST,GN,1692.0,2523.0,6
2020.0,IIITL,CS (BTech),4,AI,ST,F,4116.0,4341.0,6
2020.0,IIITL,CSE-AI (BTech),4,AI,OPEN,GN,6086.0,9826.0,6
2020.0,IIITL,CSE-AI (BTech),4,AI,OPEN,F,16729.0,17276.0,6
